10231	22.2
12790	35.56
2839	38.22
1882	30.57
7071	17.95
2796	24.72
2284	23.29
9579	15.16
13533	37.51
10249	24.91
11719	23.42
14726	31.18
8250	21.94
11555	33.79
8119	18.44
18881	32.63
16401	25.14
172	34.0
12291	21.57
6650	36.87
11342	32.4
11209	24.81
7654	26.07
4052	16.96
18350	27.99
13173	21.31
5466	19.67
6202	35.2
14335	19.83
4882	23.52
6051	32.21
2347	22.07
9382	19.96
11814	25.7
13835	23.2
12517	28.21
12826	15.21
707	38.85
15798	15.61
2288	31.48
6552	30.2
5324	19.17
2153	27.28
5459	34.84
9177	19.65
10990	22.56
332	18.93
5626	22.86
4234	39.25
11262	39.03
17389	15.69
19612	31.15
11246	39.03
4438	37.89
18064	28.62
11139	15.91
10597	23.55
15846	21.23
2725	19.77
4575	34.96
3666	22.67
10020	29.25
16768	25.49
6152	37.78
13093	38.22
12634	18.31
9603	20.62
17128	22.85
6717	36.28
3500	22.11
19388	19.13
10117	18.78
4792	27.15
13163	20.82
7068	19.51
13918	21.13
12300	24.09
5962	32.39
9751	39.23
9615	26.48
11648	17.18
15589	19.89
18990	24.08
8675	38.42
717	15.33
17020	25.9
436	21.75
15917	20.26
6884	23.85
10852	23.13
16610	35.82
10073	24.02
14368	21.66
9803	39.97
11283	25.62
3447	24.99
17156	35.92
604	37.13
1379	15.02
4384	25.5
